sample_view,fold,rmse
S3_imputed,1,8.516631806567322
S3_imputed,2,9.97262120650127
S3_imputed,3,8.704227787481926
S3_imputed,4,6.716874733151113
S3_imputed,5,8.405972339293006
S3_imputed,6,7.410557265921195
S3_imputed,7,8.67198448664748
S3_imputed,8,7.8064383952418686
S3_imputed,9,10.444810748373705
S3_imputed,10,7.649686751055884
S3_imputed,11,9.290151818279668
S3_imputed,12,9.816538122054133
S3_imputed,13,7.802401446046628
S3_imputed,14,7.52801255641743
S3_imputed,15,7.267693237921146
S3_imputed,16,8.060105332725815
S3_imputed,17,8.62517734345283
S3_imputed,18,8.025304798980509
S3_imputed,19,7.348270793241657
S3_imputed,20,9.97209902390564
S3_imputed,21,8.610962934774559
S3_imputed,22,7.770396061143867
S3_imputed,23,9.476512508715784
S3_imputed,24,7.159129977391914
S3_imputed,25,8.867045128729693
S3_spin_components,1,7.898904955216285
S3_spin_components,2,9.330781742403278
S3_spin_components,3,8.289634695048385
S3_spin_components,4,6.711748683033155
S3_spin_components,5,8.67081043663244
S3_spin_components,6,6.520183998755106
S3_spin_components,7,9.29439638795749
S3_spin_components,8,7.385171013603032
S3_spin_components,9,10.10886626563675
S3_spin_components,10,7.385614436243397
S3_spin_components,11,8.568789357428694
S3_spin_components,12,9.592672229599346
S3_spin_components,13,7.5270540818655
S3_spin_components,14,7.079743140005711
S3_spin_components,15,7.213555948656199
S3_spin_components,16,7.879721397193372
S3_spin_components,17,8.441155232835916
S3_spin_components,18,8.078666416340477
S3_spin_components,19,7.543000201121785
S3_spin_components,20,9.113502965120187
S3_spin_components,21,8.392964215287773
S3_spin_components,22,7.577136052008048
S3_spin_components,23,8.899121238345964
S3_spin_components,24,6.471208506903252
S3_spin_components,25,9.13205250732294
