target,group_feature,bin,count,rmse,mae,mape
apex_height_yd,ball_speed_mph,"(65.25, 92.922]",56,2.3936022278,1.6369896819,18.3188957013
apex_height_yd,ball_speed_mph,"(92.922, 104.42]",55,1.3368954625,0.948542582011,10.711710855
apex_height_yd,ball_speed_mph,"(104.42, 116.432]",55,1.24988071505,0.999735982735,7.80556436635
apex_height_yd,ball_speed_mph,"(116.432, 134.037]",55,1.72411083424,1.41870908466,20.4298676245
apex_height_yd,launch_angle_deg,"(1.8490000000000002, 12.25]",56,1.53677607132,1.16086204244,31.8307585925
apex_height_yd,launch_angle_deg,"(12.25, 15.22]",55,1.22034411897,1.00914374599,9.03445139847
apex_height_yd,launch_angle_deg,"(15.22, 19.43]",55,1.31543809216,1.03074410908,6.72664253784
apex_height_yd,launch_angle_deg,"(19.43, 32.29]",55,2.55564341287,1.81188429996,9.42851578402
apex_height_yd,spin_rate_rpm,"(573.4390000000001, 2594.64]",56,1.06186476422,0.813201398656,17.0329414139
apex_height_yd,spin_rate_rpm,"(2594.64, 3644.8]",55,2.29317008571,1.75850942027,19.2072034027
apex_height_yd,spin_rate_rpm,"(3644.8, 4798.91]",55,1.62674766854,1.17596814838,8.32785447488
apex_height_yd,spin_rate_rpm,"(4798.91, 9336.63]",55,1.76140736633,1.27127633279,12.7214202428
carry_distance_yd,ball_speed_mph,"(65.25, 92.922]",56,8.21593959946,5.59765526745,7.50937219473
carry_distance_yd,ball_speed_mph,"(92.922, 104.42]",55,6.07719273788,4.20012468226,3.73635504829
carry_distance_yd,ball_speed_mph,"(104.42, 116.432]",55,8.49176684933,4.83813912282,3.97200393968
carry_distance_yd,ball_speed_mph,"(116.432, 134.037]",55,10.0740596122,6.34803508274,4.68202432039
carry_distance_yd,launch_angle_deg,"(1.8490000000000002, 12.25]",56,13.6871493473,9.51946980991,10.1836774061
carry_distance_yd,launch_angle_deg,"(12.25, 15.22]",55,6.08192521299,3.75315142729,3.72898233636
carry_distance_yd,launch_angle_deg,"(15.22, 19.43]",55,4.9027169002,3.63269926773,2.59314474681
carry_distance_yd,launch_angle_deg,"(19.43, 32.29]",55,5.24283971642,4.00732793139,3.3453272827
carry_distance_yd,spin_rate_rpm,"(573.4390000000001, 2594.64]",56,9.14907316359,6.01802134797,5.89698496593
carry_distance_yd,spin_rate_rpm,"(2594.64, 3644.8]",55,9.60762415176,5.8938975178,4.88070216711
carry_distance_yd,spin_rate_rpm,"(3644.8, 4798.91]",55,7.14940378283,4.3835916965,4.11756235679
carry_distance_yd,spin_rate_rpm,"(4798.91, 9336.63]",55,7.11408071315,4.68080057335,5.03382214472
